選舉類型,候選人數量
[縣(市)長]連江縣,4
[縣(市)議員]連江縣第1選舉區,7
[縣(市)議員]連江縣第2選舉區,3
[縣(市)議員]連江縣第3選舉區,2
[縣(市)議員]連江縣第4選舉區,1
[鄉鎮市長]連江縣南竿鄉,13
[鄉鎮市長]連江縣北竿鄉,8
[鄉鎮市長]連江縣莒光鄉,8
[鄉鎮市長]連江縣東引鄉,6
[縣(市)長]金門縣,6
[縣(市)議員]金門縣第1選舉區,20
[縣(市)議員]金門縣第2選舉區,13
[縣(市)議員]金門縣第3選舉區,2
[鄉鎮市長]金門縣金城鎮,19
[鄉鎮市長]金門縣金沙鎮,20
[鄉鎮市長]金門縣金湖鎮,13
[鄉鎮市長]金門縣金寧鄉,16
[鄉鎮市長]金門縣烈嶼鄉,13
[鄉鎮市長]金門縣烏坵鄉,4
[縣(市)長]宜蘭縣,5
[縣(市)議員]宜蘭縣第1選舉區,18
[縣(市)議員]宜蘭縣第2選舉區,5
[縣(市)議員]宜蘭縣第3選舉區,4
[縣(市)議員]宜蘭縣第4選舉區,2
[縣(市)議員]宜蘭縣第5選舉區,3
[縣(市)議員]宜蘭縣第6選舉區,11
[縣(市)議員]宜蘭縣第7選舉區,7
[縣(市)議員]宜蘭縣第8選舉區,8
[縣(市)議員]宜蘭縣第9選舉區,2
[縣(市)議員]宜蘭縣第10選舉區,5
[縣(市)議員]宜蘭縣第12選舉區,2
[縣(市)議員]宜蘭縣第13選舉區,4
[縣(市)議員]宜蘭縣第11選舉區,2
[鄉鎮市長]宜蘭縣宜蘭市,2
[鄉鎮市長]宜蘭縣羅東鎮,3
[鄉鎮市長]宜蘭縣蘇澳鎮,2
[鄉鎮市長]宜蘭縣頭城鎮,2
[鄉鎮市長]宜蘭縣礁溪鄉,4
[鄉鎮市長]宜蘭縣壯圍鄉,3
[鄉鎮市長]宜蘭縣員山鄉,2
[鄉鎮市長]宜蘭縣冬山鄉,2
[鄉鎮市長]宜蘭縣五結鄉,4
[鄉鎮市長]宜蘭縣三星鄉,3
[鄉鎮市長]宜蘭縣大同鄉,1
[鄉鎮市長]宜蘭縣南澳鄉,4
[鄉鎮市民代表]宜蘭縣宜蘭市第1選舉區,8
[鄉鎮市民代表]宜蘭縣宜蘭市第2選舉區,9
[鄉鎮市民代表]宜蘭縣宜蘭市第3選舉區,13
[鄉鎮市民代表]宜蘭縣宜蘭市第4選舉區,8
[鄉鎮市民代表]宜蘭縣羅東鎮第1選舉區,3
[鄉鎮市民代表]宜蘭縣羅東鎮第2選舉區,2
[鄉鎮市民代表]宜蘭縣羅東鎮第3選舉區,11
[鄉鎮市民代表]宜蘭縣羅東鎮第4選舉區,8
[鄉鎮市民代表]宜蘭縣蘇澳鎮第1選舉區,2
[鄉鎮市民代表]宜蘭縣蘇澳鎮第2選舉區,3
[鄉鎮市民代表]宜蘭縣蘇澳鎮第3選舉區,5
[鄉鎮市民代表]宜蘭縣蘇澳鎮第4選舉區,6
[鄉鎮市民代表]宜蘭縣頭城鎮第1選舉區,5
[鄉鎮市民代表]宜蘭縣頭城鎮第2選舉區,4
[鄉鎮市民代表]宜蘭縣頭城鎮第3選舉區,2
[鄉鎮市民代表]宜蘭縣頭城鎮第4選舉區,4
[鄉鎮市民代表]宜蘭縣礁溪鄉第1選舉區,6
